127.0.0.1 - - [13/Feb/2023:14:40:31 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:32 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:32 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:32 +0530] "GET /project_3/img/log23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:38 +0530] "GET /project_3/img/log24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:56 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:40:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:41:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7140
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:41:40 +0530] "GET /project_3/img/log28.jpg HTTP/1.1" 200 2399196
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:42:17 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:42:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9791
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:42:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:52:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9791
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:52:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:52:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9790
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:52:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
