127.0.0.1 - - [15/Mar/2023:21:34:28 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:34:29 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:34:30 +0530] "GET /project_3/img/log23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:34:30 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:36:05 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:36:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:36:06 +0530] "GET /project_3/img/log24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:36:11 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7166
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:36:11 +0530] "GET /project_3/img/log28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:56:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:56:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:58:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:58:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:58:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [15/Mar/2023:21:58:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:09:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7166
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9793
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:18 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:18 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:18 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:24 +0530] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 14430
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:31 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:36 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18270
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:44 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 17183
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:50 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20245
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:10:55 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 16777
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:12:18 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 17183
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:12:23 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 16777
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:12:56 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18270
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:03 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:11 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:11 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18270
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:16 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20245
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2023:22:13:28 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 18000
