127.0.0.1 - - [11/Apr/2023:09:32:37 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:32:38 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:32:38 +0530] "GET /project_3/img/log23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:33:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:33:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:31 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:34:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:07 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:35:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
